Well_ID,X,Y,Z,AI,SI,Vp,Vs,rho_b,rho_f,rho_m,K0,Kdry,Kf,Ksat,G0,Gdry,Gsat,facies,phi,perm,GR
1,33,127,19,5943276,NaN,2509.036133,1090.884644,2.368748665,1.031187773,2.639837027,32.47845459,3.545598269,2.053309202,11.15338707,22.35713577,2.81888032,2.81888032,4,0.168519279,270.908982,64.49279894
1,33,127,20,5919975,2565816,2501.055908,NaN,2.366990328,1.031301975,2.639686108,32.35955048,3.522152901,2.054320335,11.09773159,22.12769699,2.781342983,NaN,4,0.16954648,275.9918196,59.38103026
1,33,127,21,5964042,2626229.75,2520.884766,1110.056396,2.365852594,1.031283498,2.640423059,32.94509888,NaN,2.054156303,11.147645,23.26909065,2.915263176,2.915263176,4,0.170631855,281.4332046,58.6958828
1,33,127,22,7214826,3753484,2968.669678,1544.438354,2.430322886,1.015336871,2.645059824,36.97344971,5.419065475,1.922070026,13.68906879,33.42917252,5.797024727,5.797024727,3,0.131762816,128.0405372,39.93121771
1,33,127,23,7219024,3770280.75,2972.544189,NaN,2.42856741,1.015382171,2.645224571,37.11107635,5.423144817,1.922421932,13.65453148,33.85812759,5.853251457,5.853251457,3,0.13293136,NaN,37.5180933
1,33,127,24,7199923,3759815,NaN,1549.403809,2.426620483,1.015701056,2.645204782,37.09446716,5.404084682,1.924897552,13.59528923,33.80587387,5.825471878,5.825471878,NaN,0.134141694,135.1885477,40.14945399
1,33,127,25,7177970,3744524.25,2960.471436,1544.386108,2.424603701,1.016447544,2.645153999,37.0520668,5.380466938,1.930717111,13.53951931,33.67308807,NaN,5.782991409,3,0.135414443,139.1218244,33.17811001
1,33,127,26,4358404.5,2028111.375,1971.462769,917.3875732,2.210746527,0.923875034,2.647563219,37.68068695,1.478984356,1.404197931,6.111679554,41.87968063,1.860564232,1.860564232,2,0.25341976,956.55751,NaN
1,33,127,27,4345392.5,2018559,1967.947754,914.1680298,2.208083153,0.92507112,NaN,37.68355179,1.468236804,1.409163117,6.091102123,41.86265182,NaN,1.845302224,2,0.255137119,977.0485052,22.13927933
1,33,127,28,4329552,2007267.75,NaN,910.3779297,2.204873085,0.926360011,2.647541046,37.6862793,1.455441713,1.414553046,6.065135956,41.84643936,1.827372313,1.827372313,2,0.257188507,NaN,24.46965137
1,33,127,29,4309400.5,1993866.125,1957.994019,905.9213257,2.200926304,0.927497387,2.647532225,37.68856812,1.440156341,1.419343829,6.029399395,41.83287811,1.806285858,1.806285858,2,0.259649293,1032.37381,27.86787912
1,33,127,30,4283797,1978153.375,1950.633911,900.7553711,2.196105003,0.928247273,NaN,NaN,1.422147989,1.422520041,5.980343342,41.82377625,1.781832218,1.781832218,2,0.262564216,1069.280426,21.72457645
1,33,127,31,NaN,1960180.25,1941.349976,894.9109497,2.190363407,0.928429127,2.64752388,37.69065857,1.401496172,1.423292518,NaN,NaN,1.75418663,1.75418663,2,0.26593091,1113.069312,NaN
1,33,127,32,4215052.5,1940306.75,1930.177124,888.5145874,2.183764696,0.927910209,2.647526264,37.69004059,1.378642678,1.421090603,5.837143421,NaN,1.723990917,1.723990917,2,0.269688998,1163.448538,25.97575872
1,33,127,33,4173169.5,1919214.625,1917.388428,881.7949829,2.176486254,0.926605582,2.647534132,37.68803406,1.354383588,1.415584683,5.745114803,41.8360405,1.692353845,1.692353845,2,0.273717319,1219.244429,29.46807301
1,33,127,34,4128322.25,1897844.5,1903.491821,875.0604248,2.168815374,0.924500406,2.64754796,37.68455124,1.329808712,1.406789541,5.643923283,41.85669708,1.660728574,1.660728574,NaN,0.277840595,NaN,27.82374346
1,33,127,35,4082947.75,NaN,1889.252808,868.6534424,2.161144257,0.921717167,2.647566557,NaN,NaN,1.395328283,5.539440155,41.88457489,1.630710483,1.630710483,2,0.281845162,1337.644726,28.50971918
1,33,127,36,4040150.25,1858652.125,1875.690918,862.902771,2.153953075,0.918581724,2.647587061,37.67466736,1.284852624,1.382637978,5.439624786,41.9154892,1.60383594,1.60383594,2,NaN,1393.525076,23.44437754
1,33,127,37,NaN,1842986.625,1863.966919,858.0953369,NaN,0.915600717,2.647605896,37.66986465,1.266996741,1.370784998,5.353523254,41.94412994,NaN,1.581458211,2,NaN,1442.041576,26.0474988
1,33,127,38,3975704.5,1831160.875,1855.15271,854.4606934,2.143060446,0.91332525,NaN,37.66622543,1.253590107,1.361873388,5.28933239,41.96586609,1.564655066,1.564655066,2,0.290930863,1479.587004,30.60158773
1,33,127,39,3959245.75,1823787.25,1849.957275,852.1644287,2.140182257,0.912139237,2.647628546,37.66414261,1.245263457,1.357274175,5.252213478,41.978302,1.554166555,NaN,2,0.292393839,1503.42185,34.14074637
2,71,53,19,6855845,3630170.75,2868.143311,1518.682251,2.390342474,1.004795432,2.645230293,37.11593628,5.119735241,1.843701243,12.31277752,33.87344742,5.513075829,5.513075829,3,0.155378153,211.4200111,24.46526392
2,71,53,20,6842545.5,3633872,2862.430176,1520.151367,2.390467167,0.999530256,2.645235777,37.12060165,NaN,1.806903243,12.22092724,33.88815689,5.524035454,5.524035454,3,0.154808092,209.0636426,32.71478415
2,71,53,21,4005143,1866349.75,1862.580566,867.9407349,2.150319338,0.906133533,2.647883654,37.59954071,1.281329155,1.334453821,5.300060749,42.36856842,1.619880915,1.619880915,2,NaN,1396.123818,NaN
2,71,53,22,4025810,1884989.125,1867.865356,874.5831909,2.155299902,0.902567565,2.647919655,37.5904541,1.300763726,1.321263671,5.321565151,42.42411423,1.648579717,1.648579717,2,0.282246582,1343.698842,31.40173799
2,71,53,23,4054641.25,NaN,1875.882446,881.9118652,2.161458015,0.900187314,2.647950888,37.58254623,1.323208332,1.312603235,5.364545345,42.4725914,1.681113958,1.681113958,2,0.278351639,1285.784169,23.26292874
2,71,53,24,NaN,1928147.25,1886.007446,889.2536011,2.168276072,0.899286866,2.647972107,37.57715988,1.346828103,1.30935657,5.426460743,42.50569534,1.714612007,NaN,2,0.274318054,1227.726719,35.44259127
2,71,53,25,NaN,1948642.125,1897.161133,NaN,2.175077438,0.899857283,2.647979498,37.5753212,1.369447589,1.3114115,5.500876904,NaN,1.745779753,NaN,2,0.27052007,1174.806343,19.72347579
2,71,53,26,4161487.75,1965554.625,1907.968506,NaN,2.18110919,0.901630104,2.64797163,37.57730484,NaN,1.317839146,5.578250408,NaN,1.771302819,1.771302819,2,0.267337474,1131.738147,23.02471364
2,71,53,27,4189717,1977029.5,1916.932373,904.555603,2.185636282,NaN,2.64795208,37.58226776,1.40242672,1.327040672,NaN,42.47431564,1.788333058,1.788333058,2,0.265117555,1102.375095,31.02512497
2,71,53,28,4206737,NaN,1922.615234,NaN,2.188028574,0.906802416,2.647926807,37.58862686,1.408651471,1.336957455,5.694876194,42.43531418,1.794795394,1.794795394,2,0.264138701,1089.602556,26.61804145
2,71,53,29,4209156,1978710.75,1923.883911,NaN,2.187843084,0.909074247,2.647902966,NaN,1.406175017,1.345531106,5.711835384,42.39818954,1.78956902,1.78956902,NaN,0.264580287,1095.351387,36.40712308
2,71,53,30,4195360,1967947,1920.168091,900.706665,2.184892178,0.910594106,2.647884846,37.59927368,1.394616485,1.351328731,5.692406654,42.37019348,1.772542834,1.772542834,NaN,0.266502665,1120.6312,27.35517608
2,71,53,31,4165755.25,1949868.375,1911.547607,NaN,2.17925787,0.911226273,2.647874594,37.60185623,1.374508739,1.353754878,5.636873245,42.35443115,1.744624496,1.744624496,2,0.269839735,1165.502703,NaN
2,71,53,32,4122627,1925581.75,1898.711792,886.8434448,2.171275854,0.911034405,2.647872686,37.6023674,1.347215652,1.353017569,5.550760746,42.35131454,1.707689643,1.707689643,2,0.274404882,1228.95622,24.53700806
2,71,53,33,4069713.5,1896728.875,1882.823242,877.5078125,2.161495209,0.91023314,2.647878408,37.60089874,1.314731479,1.349947333,5.443358421,42.36027145,1.664394498,1.664394498,2,0.279909403,1308.726159,20.96378373
2,71,53,34,NaN,1865280.75,1865.307373,867.3228149,2.150618792,0.909123302,2.647890568,37.5978241,NaN,1.34571743,5.325735092,42.37905121,1.617800474,1.617800474,2,NaN,1401.12958,NaN
2,71,53,35,3952863.5,1833285.25,1847.628052,NaN,2.139425993,0.90802151,2.64790535,37.59403992,1.243759513,1.341544628,5.208818913,NaN,1.570951819,1.570951819,2,0.29224909,1501.051251,29.54713824
2,71,53,36,3897868,1802697.375,1831.109253,846.8567505,2.12869215,0.907197118,2.647918701,37.59066772,1.210039973,1.338439107,5.101920128,42.42280579,1.526626468,NaN,2,0.298282353,1602.189263,29.28892107
2,71,53,37,NaN,1775230,1816.791992,837.7263794,2.119104862,0.906808615,2.647926569,37.58871841,1.180199027,1.3369807,5.011723995,42.43475723,1.487156987,1.487156987,2,0.303725414,1697.615816,32.84887759
2,71,53,38,3811529.75,1752256.75,1805.384399,829.980896,2.111201286,0.906895757,2.647926569,37.58871841,1.155671358,1.337307572,NaN,42.43475342,NaN,1.454339623,2,0.308280112,1780.607561,22.60319471
2,71,53,39,3783827.75,1734713,1797.259033,823.9616089,2.105332375,0.9074049,2.647918463,37.59077454,1.137342572,1.339220643,NaN,42.42215729,1.429337025,1.429337025,2,0.311739054,1845.592223,34.82986885
3,58,186,19,4195747,2032216.125,1913.802612,926.953064,2.192361355,0.878338397,2.648428202,NaN,1.443884015,1.238111615,NaN,43.22952652,1.883768916,NaN,2,0.257651875,1007.61483,31.70382578
3,58,186,20,4181485,2020917.875,1909.829102,923.0232544,2.189455032,0.879904211,2.648393154,37.4705925,1.432697535,1.24316752,5.498782158,43.17298889,1.8653543,1.8653543,2,0.259508654,1030.616477,29.8528729
3,58,186,21,4167123.25,2007452.625,1905.984375,918.1809692,NaN,0.882461905,2.648334026,37.48558426,1.420199275,1.251515985,5.484865665,43.07765198,1.843204737,1.843204737,2,0.261625717,1057.296734,30.19425412
3,58,186,22,4153174.75,1992001,1902.452759,NaN,2.183063269,0.88607955,2.648251295,37.50648499,1.406508684,1.263517261,5.477671623,42.94555664,1.81766057,1.81766057,2,0.263985674,1087.615398,26.43284549
3,58,186,23,4139329.25,1974571.75,NaN,905.9493408,2.1795609,0.890676558,2.648150206,37.53211212,1.391372681,1.279103637,NaN,42.7848587,1.78886199,1.78886199,2,0.266626614,1122.275358,19.01949215
3,58,186,24,4124219,1954982.75,1895.667603,898.59375,2.175602436,0.895954549,2.648038387,37.5603714,1.374180794,1.297480226,5.475835323,42.60925674,1.756735206,1.756735206,2,0.269642287,1162.812513,25.58652297
3,58,186,25,NaN,1932878,1891.249146,890.3790894,2.17084837,0.901445746,2.647926092,37.58879471,1.354105592,1.317167878,5.470081806,42.43428802,1.720994234,1.720994234,2,0.273165284,1211.486988,22.52386779
3,58,186,26,4081117.5,NaN,1885.093872,881.2230225,NaN,NaN,2.64782095,37.61541748,NaN,1.336507678,5.451698303,42.27189636,1.681193829,1.681193829,2,0.277335518,1270.976351,19.36133823
3,58,186,27,4048990.25,1879369.125,1876.603027,871.0393066,NaN,0.911345959,2.647727728,37.63905716,1.302368641,1.354215145,5.415675163,42.12887955,1.637004256,1.637004256,NaN,0.28225983,1343.898979,NaN
